 #  Year Month Day Hour Minute Second VelX VelY VelZ SNR1 SNR2 SNR3 
 ()    () ()  ()   ()   ()   ()  (ft/s) (ft/s) (ft/s) (dB) (dB) (dB)
  2 2018 05 23 15 46 09  1.2907 -0.0203  0.0000  28.8  27.5   0.0 
  2 2018 05 23 15 46 10  1.1778  0.3625  0.0000  29.7  25.8   0.0 
  2 2018 05 23 15 46 11  1.2480  0.0315  0.0000  26.7  26.2   0.0 
  2 2018 05 23 15 46 12  0.7595  0.0312  0.0000  31.4  29.2   0.0 
  2 2018 05 23 15 46 13  0.9281  0.1995  0.0000  27.5  25.8   0.0 
  2 2018 05 23 15 46 14  1.1401  0.0640  0.0000  28.8  28.4   0.0 
  2 2018 05 23 15 46 15  0.9360  0.0587  0.0000  28.8  26.7   0.0 
  2 2018 05 23 15 46 16  1.6381 -0.0030  0.0000  26.7  25.8   0.0 
  2 2018 05 23 15 46 17  0.9885  0.0587  0.0000  27.9  27.5   0.0 
  2 2018 05 23 15 46 18  1.0279  0.2087  0.0000  28.4  26.7   0.0 
  3 2018 05 23 15 46 41  1.9157  0.0689  0.0000  26.2  24.9   0.0 
  3 2018 05 23 15 46 42  1.8976 -0.0469  0.0000  28.8  25.4   0.0 
  3 2018 05 23 15 46 43  1.6909 -0.1870  0.0000  26.7  24.5   0.0 
  3 2018 05 23 15 46 44  0.7490  0.5138  0.0000  26.7  25.8   0.0 
  3 2018 05 23 15 46 45  2.2142 -0.0935  0.0000  27.1  26.2   0.0 
  3 2018 05 23 15 46 46  1.5771  0.0003  0.0000  27.5  26.2   0.0 
  3 2018 05 23 15 46 47  2.1962  0.0492  0.0000  29.2  26.2   0.0 
  3 2018 05 23 15 46 48  1.4695 -0.0387  0.0000  29.2  27.9   0.0 
  3 2018 05 23 15 46 49  2.1709 -0.5069  0.0000  27.9  25.4   0.0 
  3 2018 05 23 15 46 50  1.2513  0.0108  0.0000  28.4  26.2   0.0 
  3 2018 05 23 15 46 51  2.3156  0.1430  0.0000  28.4  25.4   0.0 
  3 2018 05 23 15 46 52  2.0472  0.2530  0.0000  27.5  25.8   0.0 
  3 2018 05 23 15 46 53  1.9505 -0.1171  0.0000  28.4  24.5   0.0 
  3 2018 05 23 15 46 54  2.0643 -0.1572  0.0000  26.7  24.9   0.0 
  3 2018 05 23 15 46 55  3.5810 -0.3005  0.0000  27.1  26.7   0.0 
  3 2018 05 23 15 46 56  1.6358 -0.0830  0.0000  27.1  25.4   0.0 
  3 2018 05 23 15 46 57  0.2037 -0.1234  0.0000  28.4  25.8   0.0 
  3 2018 05 23 15 46 58  1.8379 -0.0505  0.0000  27.9  25.4   0.0 
  3 2018 05 23 15 46 59  1.4997  0.1781  0.0000  27.5  26.2   0.0 
  3 2018 05 23 15 47 00  1.9603 -0.1857  0.0000  27.9  26.7   0.0 
  3 2018 05 23 15 47 01  2.1430  0.1995  0.0000  29.2  26.2   0.0 
  3 2018 05 23 15 47 02  2.1772  0.4649  0.0000  25.8  24.5   0.0 
  3 2018 05 23 15 47 03  1.0089 -0.1417  0.0000  28.4  27.1   0.0 
  3 2018 05 23 15 47 04  1.8068  0.1916  0.0000  27.1  26.2   0.0 
  3 2018 05 23 15 47 05  1.8556  0.6657  0.0000  27.1  26.7   0.0 
  3 2018 05 23 15 47 06  2.0463  0.1955  0.0000  28.8  26.7   0.0 
  3 2018 05 23 15 47 07  2.5571  0.2060  0.0000  27.1  25.8   0.0 
  3 2018 05 23 15 47 08  1.7470 -0.1040  0.0000  27.9  24.9   0.0 
  3 2018 05 23 15 47 09  1.6138  0.3530  0.0000  27.9  26.2   0.0 
  3 2018 05 23 15 47 10  2.1549  0.2300  0.0000  26.7  25.8   0.0 
  3 2018 05 23 15 47 11  2.2844  0.3698  0.0000  27.1  24.1   0.0 
  3 2018 05 23 15 47 12  2.1939  0.0269  0.0000  28.4  26.7   0.0 
  3 2018 05 23 15 47 13  1.7274  0.1047  0.0000  26.7  24.9   0.0 
  3 2018 05 23 15 47 14  1.7782 -0.2129  0.0000  28.8  25.8   0.0 
  3 2018 05 23 15 47 15  2.3074  0.0515  0.0000  27.9  25.8   0.0 
  3 2018 05 23 15 47 16  1.8245  0.3875  0.0000  27.1  24.9   0.0 
  3 2018 05 23 15 47 17  1.9232  0.1982  0.0000  27.1  25.4   0.0 
  3 2018 05 23 15 47 18  2.0013 -0.0249  0.0000  28.8  24.9   0.0 
  3 2018 05 23 15 47 19  1.4577  0.1217  0.0000  28.4  26.2   0.0 
  3 2018 05 23 15 47 20  1.6257 -0.2559  0.0000  26.7  25.4   0.0 
  4 2018 05 23 15 47 46  2.9311 -0.1368  0.0000  26.2  25.4   0.0 
  4 2018 05 23 15 47 47  2.4439  0.1161  0.0000  26.2  24.9   0.0 
  4 2018 05 23 15 47 48  2.7375  0.1257  0.0000  28.8  25.8   0.0 
  4 2018 05 23 15 47 49  2.2566  0.0745  0.0000  28.4  25.8   0.0 
  4 2018 05 23 15 47 50  2.0682 -0.1184  0.0000  26.7  24.9   0.0 
  4 2018 05 23 15 47 51  1.8576  0.1033  0.0000  26.7  25.4   0.0 
  4 2018 05 23 15 47 52  2.4849  0.0591  0.0000  25.4  23.6   0.0 
  4 2018 05 23 15 47 53  2.0978 -0.0817  0.0000  28.4  25.8   0.0 
  4 2018 05 23 15 47 54  2.9439 -0.0538  0.0000  28.8  25.8   0.0 
  4 2018 05 23 15 47 55  2.0545  0.0938  0.0000  25.8  24.9   0.0 
  4 2018 05 23 15 47 56  2.4252  0.0082  0.0000  27.9  26.2   0.0 
  4 2018 05 23 15 47 57  2.4373 -0.0584  0.0000  26.2  24.9   0.0 
  4 2018 05 23 15 47 58  2.0328 -0.0712  0.0000  27.5  26.2   0.0 
  4 2018 05 23 15 47 59  2.6404 -0.2569  0.0000  27.9  24.9   0.0 
  4 2018 05 23 15 48 00  2.5226 -0.0719  0.0000  27.5  25.8   0.0 
  4 2018 05 23 15 48 01  2.5764  0.0896  0.0000  27.1  23.6   0.0 
  4 2018 05 23 15 48 02  2.2395  0.0505  0.0000  26.7  25.8   0.0 
  4 2018 05 23 15 48 03  2.4619 -0.1444  0.0000  27.5  24.5   0.0 
  4 2018 05 23 15 48 04  1.9928 -0.0591  0.0000  27.1  24.1   0.0 
  4 2018 05 23 15 48 05  0.2178  0.4236  0.0000  27.5  23.6   0.0 
  4 2018 05 23 15 48 06  2.4603  0.1555  0.0000  26.2  25.4   0.0 
  4 2018 05 23 15 48 07  2.3990 -0.3665  0.0000  27.1  24.1   0.0 
  4 2018 05 23 15 48 08  2.2257  0.0121  0.0000  26.2  24.9   0.0 
  4 2018 05 23 15 48 09  2.2552 -0.3097  0.0000  26.2  26.2   0.0 
  4 2018 05 23 15 48 10  3.4921  0.2451  0.0000  25.4  24.5   0.0 
  4 2018 05 23 15 48 11  2.3169 -0.1736  0.0000  27.9  24.1   0.0 
  4 2018 05 23 15 48 12  2.4364 -0.1093  0.0000  27.5  26.7   0.0 
  4 2018 05 23 15 48 13  1.7625  0.2867  0.0000  27.5  25.4   0.0 
  4 2018 05 23 15 48 14  3.1476  0.0089  0.0000  28.4  27.5   0.0 
  4 2018 05 23 15 48 15  2.1201 -0.1329  0.0000  28.4  28.4   0.0 
  4 2018 05 23 15 48 16  2.5548 -0.1066  0.0000  27.1  24.9   0.0 
  4 2018 05 23 15 48 17  2.5476 -0.1749  0.0000  27.5  25.8   0.0 
  4 2018 05 23 15 48 18  2.0978 -0.0367  0.0000  27.1  24.9   0.0 
  4 2018 05 23 15 48 19  2.6532 -0.1457  0.0000  26.7  24.5   0.0 
  4 2018 05 23 15 48 20  2.6549 -0.3333  0.0000  24.9  23.2   0.0 
  4 2018 05 23 15 48 21  2.5207 -0.1129  0.0000  26.7  24.9   0.0 
  4 2018 05 23 15 48 22  1.0318  0.4432  0.0000  26.7  26.7   0.0 
  4 2018 05 23 15 48 23  2.2904 -0.1247  0.0000  26.2  25.4   0.0 
  4 2018 05 23 15 48 24  2.3950 -0.1873  0.0000  27.1  26.2   0.0 
  4 2018 05 23 15 48 25  2.0774 -0.3865  0.0000  29.2  26.7   0.0 
  5 2018 05 23 15 48 52  1.9462  0.0837  0.0000  27.5  25.8   0.0 
  5 2018 05 23 15 48 53  3.2346 -0.1138  0.0000  28.8  25.4   0.0 
  5 2018 05 23 15 48 54  1.9547 -0.1302  0.0000  29.2  26.7   0.0 
  5 2018 05 23 15 48 55  2.2441 -0.3182  0.0000  25.8  24.9   0.0 
  5 2018 05 23 15 48 56  1.4882 -0.3009  0.0000  25.8  25.8   0.0 
  5 2018 05 23 15 48 57  2.2224 -0.4127  0.0000  27.9  26.2   0.0 
  5 2018 05 23 15 48 58  2.0184  0.1519  0.0000  26.7  27.5   0.0 
  5 2018 05 23 15 48 59  1.7726  0.2497  0.0000  28.4  25.8   0.0 
  5 2018 05 23 15 49 00  2.1811  0.1736  0.0000  26.2  26.2   0.0 
  5 2018 05 23 15 49 01  2.1506 -0.1211  0.0000  27.5  26.7   0.0 
  5 2018 05 23 15 49 02  2.3629 -0.0046  0.0000  28.8  27.9   0.0 
  5 2018 05 23 15 49 03  1.3615 -0.2425  0.0000  27.5  26.7   0.0 
  5 2018 05 23 15 49 04  3.3465  0.1106  0.0000  27.1  27.9   0.0 
  5 2018 05 23 15 49 05  3.9111  0.2188  0.0000  24.9  25.4   0.0 
  5 2018 05 23 15 49 06  2.6683 -0.2175  0.0000  27.9  28.4   0.0 
  5 2018 05 23 15 49 07  2.4682 -0.2572  0.0000  30.1  29.7   0.0 
  5 2018 05 23 15 49 08  2.3750 -0.0830  0.0000  27.9  26.7   0.0 
  5 2018 05 23 15 49 09  1.6535  0.2552  0.0000  27.5  27.9   0.0 
  5 2018 05 23 15 49 10  2.4134 -0.0492  0.0000  28.4  27.5   0.0 
  5 2018 05 23 15 49 11  2.1844  0.0463  0.0000  25.8  24.5   0.0 
  5 2018 05 23 15 49 12  1.9636 -0.0344  0.0000  27.9  27.1   0.0 
  5 2018 05 23 15 49 13  2.4081  0.2073  0.0000  27.5  26.7   0.0 
  5 2018 05 23 15 49 14  2.2051  0.4564  0.0000  27.1  25.8   0.0 
  5 2018 05 23 15 49 15  1.9567 -0.0285  0.0000  27.9  27.5   0.0 
  5 2018 05 23 15 49 16  2.6621 -0.2103  0.0000  27.9  27.1   0.0 
  5 2018 05 23 15 49 17  2.0978  0.2257  0.0000  26.7  25.4   0.0 
  5 2018 05 23 15 49 18  2.0794 -0.0738  0.0000  25.4  24.1   0.0 
  5 2018 05 23 15 49 19  2.2415  0.0341  0.0000  27.1  24.9   0.0 
  5 2018 05 23 15 49 20  2.2507  0.0889  0.0000  25.8  26.2   0.0 
  5 2018 05 23 15 49 21  2.7116  0.7106  0.0000  26.7  27.5   0.0 
  5 2018 05 23 15 49 22  1.6407 -0.2320  0.0000  26.7  24.5   0.0 
  5 2018 05 23 15 49 23  2.1772 -0.4124  0.0000  27.5  24.9   0.0 
  5 2018 05 23 15 49 24  2.8698 -0.3855  0.0000  29.2  27.1   0.0 
  5 2018 05 23 15 49 25  2.0853 -0.0896  0.0000  26.7  27.1   0.0 
  5 2018 05 23 15 49 26  2.2940  0.0797  0.0000  26.7  25.4   0.0 
  5 2018 05 23 15 49 27  2.7208 -0.1306  0.0000  26.7  25.4   0.0 
  5 2018 05 23 15 49 28  2.2083 -0.2444  0.0000  27.5  25.4   0.0 
  5 2018 05 23 15 49 29  2.3136 -0.1512  0.0000  28.4  26.7   0.0 
  5 2018 05 23 15 49 30  2.5390  0.6480  0.0000  27.1  25.8   0.0 
  5 2018 05 23 15 49 31  2.0630 -0.0121  0.0000  25.4  24.5   0.0 
  6 2018 05 23 15 49 56  2.9662  0.1309  0.0000  25.8  24.9   0.0 
  6 2018 05 23 15 49 57  2.9491  0.2500  0.0000  27.5  24.5   0.0 
  6 2018 05 23 15 49 58  2.3615  0.3963  0.0000  24.9  24.5   0.0 
  6 2018 05 23 15 49 59  3.3691  0.1601  0.0000  25.8  25.8   0.0 
  6 2018 05 23 15 50 00  2.8255 -1.0374  0.0000  25.8  25.4   0.0 
  6 2018 05 23 15 50 01  2.7802 -0.1283  0.0000  25.4  24.5   0.0 
  6 2018 05 23 15 50 02  2.2431 -0.0010  0.0000  26.2  25.8   0.0 
  6 2018 05 23 15 50 03  0.9147  0.2379  0.0000  27.1  25.8   0.0 
  6 2018 05 23 15 50 04  1.5735 -0.0482  0.0000  25.4  24.9   0.0 
  6 2018 05 23 15 50 05  2.8566 -0.1391  0.0000  26.2  25.4   0.0 
  6 2018 05 23 15 50 06  0.6886  0.1106  0.0000  25.8  26.2   0.0 
  6 2018 05 23 15 50 07  2.7149 -0.0984  0.0000  26.2  23.6   0.0 
  6 2018 05 23 15 50 08  2.7493  0.0226  0.0000  27.9  28.4   0.0 
  6 2018 05 23 15 50 09  2.6161 -0.6043  0.0000  25.4  25.8   0.0 
  6 2018 05 23 15 50 10  2.9377 -0.2874  0.0000  26.2  24.9   0.0 
  6 2018 05 23 15 50 11  2.3425  0.1949  0.0000  25.8  25.8   0.0 
  6 2018 05 23 15 50 12  2.3760  0.7126  0.0000  24.9  23.6   0.0 
  6 2018 05 23 15 50 13  2.0568  0.3323  0.0000  25.8  24.9   0.0 
  6 2018 05 23 15 50 14  2.7014 -0.0768  0.0000  26.2  24.5   0.0 
  6 2018 05 23 15 50 15  2.3012 -0.0679  0.0000  26.2  24.9   0.0 
  6 2018 05 23 15 50 16  1.2963  0.7785  0.0000  25.8  24.9   0.0 
  6 2018 05 23 15 50 17  2.7966  0.1801  0.0000  25.8  24.9   0.0 
  6 2018 05 23 15 50 18  2.8448 -0.1624  0.0000  26.2  25.4   0.0 
  6 2018 05 23 15 50 19  3.0200 -0.1329  0.0000  26.7  25.8   0.0 
  6 2018 05 23 15 50 20  2.6168 -0.3241  0.0000  25.4  23.6   0.0 
  6 2018 05 23 15 50 21  2.5801  0.4472  0.0000  27.1  24.5   0.0 
